fold,epoch,loss,binary_accuracy,TP,TN,FP,FN,precision,recall,f1_score
1,0,0.03362470120191574,0.9949475526809692,0.0,240445.0,0.0,1221.0,0.0,0.0,[0.01005406]
1,1,0.030115868896245956,0.9949475526809692,0.0,240445.0,0.0,1221.0,0.0,0.0,[0.01005406]
1,2,0.020427143201231956,0.995026171207428,79.0,240385.0,60.0,1142.0,0.568345308303833,0.06470106542110443,[0.01005406]
1,3,0.021821528673171997,0.9942813515663147,180.0,240104.0,341.0,1041.0,0.3454894423484802,0.14742015302181244,[0.01005406]
1,4,0.018339868634939194,0.9954896569252014,182.0,240394.0,51.0,1039.0,0.7811158895492554,0.14905814826488495,[0.01005406]
1,5,0.014436041936278343,0.9964455366134644,457.0,240350.0,95.0,764.0,0.8278985619544983,0.3742833733558655,[0.01005406]
1,6,0.015796849504113197,0.9962510466575623,400.0,240360.0,85.0,821.0,0.8247422575950623,0.3276003301143646,[0.01005406]
1,7,0.015662796795368195,0.9960358738899231,324.0,240384.0,61.0,897.0,0.8415584564208984,0.26535627245903015,[0.01005406]
1,8,0.015001172199845314,0.9960896372795105,526.0,240195.0,250.0,695.0,0.6778350472450256,0.4307944178581238,[0.01005406]
1,9,0.014445259235799313,0.9962758421897888,529.0,240237.0,208.0,692.0,0.7177747488021851,0.43325144052505493,[0.01005406]
1,10,0.014958670362830162,0.9960896372795105,359.0,240362.0,83.0,862.0,0.8122171759605408,0.2940213084220886,[0.01005406]
1,11,0.013235611841082573,0.9968013763427734,576.0,240317.0,128.0,645.0,0.8181818127632141,0.47174447774887085,[0.01005406]
1,12,0.013189869932830334,0.99658203125,627.0,240213.0,232.0,594.0,0.7299185395240784,0.5135135054588318,[0.01005406]
1,13,0.016451328992843628,0.9963254928588867,453.0,240325.0,120.0,768.0,0.7905759215354919,0.37100738286972046,[0.01005406]
1,14,0.012309303507208824,0.9971199631690979,660.0,240310.0,135.0,561.0,0.8301886916160583,0.5405405163764954,[0.01005406]
1,15,0.013293339870870113,0.9966813921928406,530.0,240334.0,111.0,691.0,0.8268330693244934,0.4340704381465912,[0.01005406]
1,16,0.013962545432150364,0.996644139289856,523.0,240332.0,113.0,698.0,0.8223270177841187,0.428337424993515,[0.01005406]
1,17,0.013020704500377178,0.9969627261161804,611.0,240321.0,124.0,610.0,0.8312925100326538,0.5004094839096069,[0.01005406]
1,18,0.012395473197102547,0.9970455169677734,614.0,240338.0,107.0,607.0,0.8515949845314026,0.5028665065765381,[0.01005406]
1,19,0.01447081845253706,0.9965613484382629,543.0,240292.0,153.0,678.0,0.7801724076271057,0.4447174370288849,[0.01005406]
2,0,0.03149596229195595,0.9948979020118713,0.0,240433.0,0.0,1233.0,0.0,0.0,[0.01015237]
2,1,0.0304816123098135,0.9948979020118713,0.0,240433.0,0.0,1233.0,0.0,0.0,[0.01015237]
2,2,0.029905134811997414,0.9948979020118713,0.0,240433.0,0.0,1233.0,0.0,0.0,[0.01015237]
2,3,0.02078333869576454,0.9952496290206909,211.0,240307.0,126.0,1022.0,0.6261127591133118,0.1711273342370987,[0.01015237]
2,4,0.01739681139588356,0.9953861832618713,176.0,240375.0,58.0,1057.0,0.752136766910553,0.14274127781391144,[0.01015237]
2,5,0.015074904076755047,0.9964496493339539,480.0,240328.0,105.0,753.0,0.8205128312110901,0.38929441571235657,[0.01015237]
2,6,0.013768088072538376,0.9966979026794434,577.0,240291.0,142.0,656.0,0.8025034666061401,0.4679643213748932,[0.01015237]
2,7,0.016668928787112236,0.9956386089324951,290.0,240322.0,111.0,943.0,0.723192036151886,0.2351987063884735,[0.01015237]
2,8,0.014514898881316185,0.9967268705368042,620.0,240255.0,178.0,613.0,0.7769423723220825,0.5028386116027832,[0.01015237]
2,9,0.01438725832849741,0.9966565370559692,539.0,240319.0,114.0,694.0,0.825421154499054,0.4371451735496521,[0.01015237]
2,10,0.018171073868870735,0.9955930709838867,218.0,240383.0,50.0,1015.0,0.8134328126907349,0.1768045425415039,[0.01015237]
2,11,0.014776301570236683,0.9968013763427734,586.0,240307.0,126.0,647.0,0.8230336904525757,0.4752635955810547,[0.01015237]
2,12,0.014202550984919071,0.9967889785766602,628.0,240262.0,171.0,605.0,0.7859824895858765,0.5093268156051636,[0.01015237]
2,13,0.015253828838467598,0.9961392879486084,408.0,240325.0,108.0,825.0,0.7906976938247681,0.33090025186538696,[0.01015237]
2,14,0.01699579507112503,0.9957461953163147,500.0,240138.0,295.0,733.0,0.6289308071136475,0.40551501512527466,[0.01015237]
2,15,0.013710255734622478,0.9967889785766602,606.0,240284.0,149.0,627.0,0.8026490211486816,0.4914841949939728,[0.01015237]
2,16,0.01377156749367714,0.9967600107192993,632.0,240251.0,182.0,601.0,0.7764127850532532,0.5125709772109985,[0.01015237]
2,17,0.01437282469123602,0.9964289665222168,469.0,240334.0,99.0,764.0,0.8257042169570923,0.3803730607032776,[0.01015237]
2,18,0.014779070392251015,0.9965406656265259,509.0,240321.0,112.0,724.0,0.8196457624435425,0.41281425952911377,[0.01015237]
2,19,0.0187346450984478,0.9953117370605469,126.0,240407.0,26.0,1107.0,0.8289473652839661,0.10218977928161621,[0.01015237]
3,0,0.030891187489032745,0.995199978351593,0.0,240506.0,0.0,1160.0,0.0,0.0,[0.00955417]
3,1,0.031186187639832497,0.995199978351593,0.0,240506.0,0.0,1160.0,0.0,0.0,[0.00955417]
3,2,0.029141180217266083,0.995199978351593,0.0,240506.0,0.0,1160.0,0.0,0.0,[0.00955417]
3,3,0.02693985402584076,0.9944137930870056,156.0,240160.0,346.0,1004.0,0.31075698137283325,0.1344827562570572,[0.00955417]
3,4,0.01750069297850132,0.9964662194252014,378.0,240434.0,72.0,782.0,0.8399999737739563,0.3258620798587799,[0.00955417]
3,5,0.01616009511053562,0.9964579343795776,400.0,240410.0,96.0,760.0,0.8064516186714172,0.3448275923728943,[0.00955417]
3,6,0.014571133069694042,0.9967185854911804,479.0,240394.0,112.0,681.0,0.8104906678199768,0.41293102502822876,[0.00955417]
3,7,0.013546304777264595,0.9971034526824951,557.0,240409.0,97.0,603.0,0.8516819477081299,0.48017242550849915,[0.00955417]
3,8,0.015005053021013737,0.9966607093811035,424.0,240435.0,71.0,736.0,0.8565656542778015,0.3655172288417816,[0.00955417]
3,9,0.014060797169804573,0.9967765212059021,488.0,240399.0,107.0,672.0,0.8201680779457092,0.4206896424293518,[0.00955417]
3,10,0.014029818587005138,0.9966317415237427,421.0,240431.0,75.0,739.0,0.8487903475761414,0.3629310429096222,[0.00955417]
3,11,0.01331205852329731,0.9969916939735413,532.0,240407.0,99.0,628.0,0.843106210231781,0.45862069725990295,[0.00955417]
3,12,0.013176396489143372,0.9970661997795105,557.0,240400.0,106.0,603.0,0.8401206731796265,0.48017242550849915,[0.00955417]
3,13,0.0127126919105649,0.9969710111618042,534.0,240400.0,106.0,626.0,0.8343750238418579,0.4603448212146759,[0.00955417]
3,14,0.012621171772480011,0.9970413446426392,534.0,240417.0,89.0,626.0,0.8571428656578064,0.4603448212146759,[0.00955417]
3,15,0.012526481412351131,0.9971737861633301,613.0,240370.0,136.0,547.0,0.8184245824813843,0.5284482836723328,[0.00955417]
3,16,0.014393994584679604,0.9965406656265259,397.0,240433.0,73.0,763.0,0.8446808457374573,0.3422413766384125,[0.00955417]
3,17,0.01254592090845108,0.9970785975456238,525.0,240435.0,71.0,635.0,0.8808724880218506,0.45258620381355286,[0.00955417]
3,18,0.012318775057792664,0.9970744848251343,562.0,240397.0,109.0,598.0,0.8375558853149414,0.4844827651977539,[0.00955417]
3,19,0.012031362392008305,0.9972606897354126,595.0,240409.0,97.0,565.0,0.8598265647888184,0.5129310488700867,[0.00955417]
4,0,0.03106691688299179,0.9951751828193665,0.0,240500.0,0.0,1166.0,0.0,0.0,[0.00960335]
4,1,0.029990555718541145,0.9951751828193665,0.0,240500.0,0.0,1166.0,0.0,0.0,[0.00960335]
4,2,0.02589866705238819,0.9951751828193665,0.0,240500.0,0.0,1166.0,0.0,0.0,[0.00960335]
4,3,0.01839030720293522,0.9963254928588867,499.0,240279.0,221.0,667.0,0.6930555701255798,0.4279588460922241,[0.00960335]
4,4,0.015967288985848427,0.9964165687561035,487.0,240313.0,187.0,679.0,0.7225519418716431,0.4176672399044037,[0.00960335]
4,5,0.015193200670182705,0.9966772198677063,566.0,240297.0,203.0,600.0,0.7360208034515381,0.48542022705078125,[0.00960335]
4,6,0.014094557613134384,0.9967972040176392,599.0,240293.0,207.0,567.0,0.7431761622428894,0.5137221217155457,[0.00960335]
4,7,0.013785697519779205,0.996888279914856,506.0,240408.0,92.0,660.0,0.8461538553237915,0.43396225571632385,[0.00960335]
4,8,0.013242750428617,0.9970289468765259,557.0,240391.0,109.0,609.0,0.8363363146781921,0.4777015447616577,[0.00960335]
4,9,0.016835693269968033,0.9954317212104797,397.0,240165.0,335.0,769.0,0.5423497557640076,0.3404802680015564,[0.00960335]
4,10,0.013331860303878784,0.9967972040176392,515.0,240377.0,123.0,651.0,0.8072100281715393,0.4416809678077698,[0.00960335]
4,11,0.013460056856274605,0.9970248341560364,559.0,240388.0,112.0,607.0,0.8330849409103394,0.4794168174266815,[0.00960335]
4,12,0.012565722689032555,0.9970868825912476,565.0,240397.0,103.0,601.0,0.8458083868026733,0.48456260561943054,[0.00960335]
4,13,0.012667630799114704,0.9970785975456238,587.0,240373.0,127.0,579.0,0.8221288323402405,0.5034305453300476,[0.00960335]
4,14,0.013007085770368576,0.9971365332603455,606.0,240368.0,132.0,560.0,0.8211382031440735,0.5197255611419678,[0.00960335]
4,15,0.013918774202466011,0.9967930912971497,535.0,240356.0,144.0,631.0,0.7879233956336975,0.45883360505104065,[0.00960335]
4,16,0.01616690866649151,0.9958041310310364,185.0,240467.0,33.0,981.0,0.8486238718032837,0.1586620956659317,[0.00960335]
4,17,0.014207245782017708,0.99658203125,429.0,240411.0,89.0,737.0,0.8281853199005127,0.3679245412349701,[0.00960335]
4,18,0.015587663277983665,0.9966027736663818,433.0,240412.0,88.0,733.0,0.8310940265655518,0.3713550567626953,[0.00960335]
4,19,0.013558482751250267,0.9968427419662476,509.0,240394.0,106.0,657.0,0.8276422619819641,0.43653514981269836,[0.00960335]
5,0,0.03127635642886162,0.9953985810279846,0.0,240554.0,0.0,1112.0,0.0,0.0,[0.00916063]
5,1,0.02989904023706913,0.9953985810279846,0.0,240554.0,0.0,1112.0,0.0,0.0,[0.00916063]
5,2,0.02384333498775959,0.9953985810279846,0.0,240554.0,0.0,1112.0,0.0,0.0,[0.00916063]
5,3,0.022326340898871422,0.9950013756752014,48.0,240410.0,144.0,1064.0,0.25,0.04316546767950058,[0.00916063]
5,4,0.018750417977571487,0.9954730868339539,74.0,240498.0,56.0,1038.0,0.5692307949066162,0.06654676049947739,[0.00916063]
5,5,0.01782430149614811,0.9960193037986755,271.0,240433.0,121.0,841.0,0.6913265585899353,0.24370503425598145,[0.00916063]
5,6,0.016296779736876488,0.996085524559021,368.0,240352.0,202.0,744.0,0.6456140279769897,0.3309352397918701,[0.00916063]
5,7,0.01763821952044964,0.9957503080368042,101.0,240538.0,16.0,1011.0,0.8632478713989258,0.0908273383975029,[0.00916063]
5,8,0.014229962602257729,0.9967600107192993,464.0,240419.0,135.0,648.0,0.7746243476867676,0.41726619005203247,[0.00916063]
5,9,0.018313106149435043,0.9958910346031189,163.0,240510.0,44.0,949.0,0.7874395847320557,0.1465827375650406,[0.00916063]
5,10,0.013771296478807926,0.9968220591545105,509.0,240389.0,165.0,603.0,0.7551928758621216,0.45773380994796753,[0.00916063]
5,11,0.013295612297952175,0.9969627261161804,483.0,240449.0,105.0,629.0,0.8214285969734192,0.4343525171279907,[0.00916063]
5,12,0.017559587955474854,0.9957006573677063,92.0,240535.0,19.0,1020.0,0.8288288116455078,0.08273380994796753,[0.00916063]
5,13,0.013652294874191284,0.9968054890632629,556.0,240338.0,216.0,556.0,0.7202072739601135,0.5,[0.00916063]
5,14,0.01933889091014862,0.9956386089324951,66.0,240546.0,8.0,1046.0,0.8918918967247009,0.05935251712799072,[0.00916063]
5,15,0.018168475478887558,0.9954813718795776,24.0,240550.0,4.0,1088.0,0.8571428656578064,0.02158273383975029,[0.00916063]
5,16,0.012949188239872456,0.9970123767852783,512.0,240432.0,122.0,600.0,0.8075709939002991,0.46043166518211365,[0.00916063]
5,17,0.012618010863661766,0.9970413446426392,549.0,240402.0,152.0,563.0,0.7831668853759766,0.49370503425598145,[0.00916063]
5,18,0.012523045763373375,0.9972317218780518,587.0,240410.0,144.0,525.0,0.803009569644928,0.527877688407898,[0.00916063]
5,19,0.01224277913570404,0.9972482919692993,562.0,240439.0,115.0,550.0,0.8301329612731934,0.5053957104682922,[0.00916063]
